file,lines,classification,reason
docs/research/ai-history/backup_ch01/people.md,9,ARCHIVE,"Superseded by the active people list in the chapters directory."
docs/research/ai-history/backup_ch01/scene-sketches.md,25,ARCHIVE,"Superseded by the active scene sketches in the chapters directory."
docs/research/ai-history/backup_ch01/sources.md,20,ARCHIVE,"Superseded by the active source list in the chapters directory."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/brief.md,71,KEEP_MD,"Actively useful research contract and planning document for Chapter 1."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/infrastructure-log.md,47,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 1."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/open-questions.md,51,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 1."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/people.md,73,KEEP_MD,"Actively useful research notes on historical figures for Chapter 1."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/scene-sketches.md,75,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 1."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/sources.md,119,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 1."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/tier3-proposal.md,108,ARCHIVE,"Completed proposal for reader aids, better stored in archive after review."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/tier3-review.md,38,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-01-the-laws-of-thought/timeline.md,34,KEEP_MD,"Actively useful chronological reference for Chapter 1."
docs/research/ai-history/chapters/ch-02-the-universal-machine/brief.md,69,KEEP_MD,"Actively useful research contract and planning document for Chapter 2."
docs/research/ai-history/chapters/ch-02-the-universal-machine/infrastructure-log.md,79,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 2."
docs/research/ai-history/chapters/ch-02-the-universal-machine/open-questions.md,83,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 2."
docs/research/ai-history/chapters/ch-02-the-universal-machine/people.md,56,KEEP_MD,"Actively useful research notes on historical figures for Chapter 2."
docs/research/ai-history/chapters/ch-02-the-universal-machine/scene-sketches.md,95,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 2."
docs/research/ai-history/chapters/ch-02-the-universal-machine/sources.md,95,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 2."
docs/research/ai-history/chapters/ch-02-the-universal-machine/tier3-proposal.md,78,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-02-the-universal-machine/tier3-review.md,40,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-02-the-universal-machine/timeline.md,35,KEEP_MD,"Actively useful chronological reference for Chapter 2."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/brief.md,63,KEEP_MD,"Actively useful research contract and planning document for Chapter 3."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/infrastructure-log.md,72,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 3."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/open-questions.md,88,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 3."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/people.md,92,KEEP_MD,"Actively useful research notes on historical figures for Chapter 3."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/scene-sketches.md,97,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 3."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/sources.md,123,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 3."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/tier3-proposal.md,68,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/tier3-review.md,45,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-03-the-physical-bridge/timeline.md,38,KEEP_MD,"Actively useful chronological reference for Chapter 3."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/brief.md,60,KEEP_MD,"Actively useful research contract and planning document for Chapter 4."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/infrastructure-log.md,61,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 4."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/open-questions.md,144,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 4."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/people.md,102,KEEP_MD,"Actively useful research notes on historical figures for Chapter 4."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/scene-sketches.md,64,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 4."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/sources.md,107,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 4."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/tier3-proposal.md,58,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/tier3-review.md,46,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-04-the-statistical-roots/timeline.md,53,KEEP_MD,"Actively useful chronological reference for Chapter 4."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/brief.md,65,KEEP_MD,"Actively useful research contract and planning document for Chapter 5."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/infrastructure-log.md,50,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 5."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/open-questions.md,62,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 5."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/people.md,60,KEEP_MD,"Actively useful research notes on historical figures for Chapter 5."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/scene-sketches.md,50,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 5."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/sources.md,105,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 5."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/tier3-proposal.md,69,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/tier3-review.md,41,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-05-the-neural-abstraction/timeline.md,28,KEEP_MD,"Actively useful chronological reference for Chapter 5."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/brief.md,59,KEEP_MD,"Actively useful research contract and planning document for Chapter 6."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/infrastructure-log.md,88,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 6."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/open-questions.md,76,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 6."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/people.md,105,KEEP_MD,"Actively useful research notes on historical figures for Chapter 6."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/scene-sketches.md,93,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 6."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/sources.md,119,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 6."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/tier3-proposal.md,48,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/tier3-review.md,33,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-06-the-cybernetics-movement/timeline.md,50,KEEP_MD,"Actively useful chronological reference for Chapter 6."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/brief.md,70,KEEP_MD,"Actively useful research contract and planning document for Chapter 7."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/infrastructure-log.md,67,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 7."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/open-questions.md,69,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 7."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/people.md,54,KEEP_MD,"Actively useful research notes on historical figures for Chapter 7."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/scene-sketches.md,57,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 7."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/sources.md,91,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 7."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/tier3-proposal.md,49,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/tier3-review.md,15,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-07-the-analog-bottleneck/timeline.md,66,KEEP_MD,"Actively useful chronological reference for Chapter 7."
docs/research/ai-history/chapters/ch-08-the-stored-program/brief.md,73,KEEP_MD,"Actively useful research contract and planning document for Chapter 8."
docs/research/ai-history/chapters/ch-08-the-stored-program/infrastructure-log.md,92,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 8."
docs/research/ai-history/chapters/ch-08-the-stored-program/open-questions.md,105,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 8."
docs/research/ai-history/chapters/ch-08-the-stored-program/people.md,63,KEEP_MD,"Actively useful research notes on historical figures for Chapter 8."
docs/research/ai-history/chapters/ch-08-the-stored-program/scene-sketches.md,103,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 8."
docs/research/ai-history/chapters/ch-08-the-stored-program/sources.md,112,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 8."
docs/research/ai-history/chapters/ch-08-the-stored-program/tier3-proposal.md,49,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-08-the-stored-program/tier3-review.md,7,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-08-the-stored-program/timeline.md,57,KEEP_MD,"Actively useful chronological reference for Chapter 8."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/brief.md,61,KEEP_MD,"Actively useful research contract and planning document for Chapter 9."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/infrastructure-log.md,123,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 9."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/open-questions.md,90,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 9."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/people.md,80,KEEP_MD,"Actively useful research notes on historical figures for Chapter 9."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/scene-sketches.md,90,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 9."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/sources.md,118,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 9."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/tier3-proposal.md,55,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/tier3-review.md,7,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-09-the-memory-miracle/timeline.md,41,KEEP_MD,"Actively useful chronological reference for Chapter 9."
docs/research/ai-history/chapters/ch-10-the-imitation-game/brief.md,62,KEEP_MD,"Actively useful research contract and planning document for Chapter 10."
docs/research/ai-history/chapters/ch-10-the-imitation-game/infrastructure-log.md,60,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 10."
docs/research/ai-history/chapters/ch-10-the-imitation-game/open-questions.md,91,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 10."
docs/research/ai-history/chapters/ch-10-the-imitation-game/people.md,59,KEEP_MD,"Actively useful research notes on historical figures for Chapter 10."
docs/research/ai-history/chapters/ch-10-the-imitation-game/scene-sketches.md,86,KEEP_MD,"Actively useful planning document for narrative structure of Chapter 10."
docs/research/ai-history/chapters/ch-10-the-imitation-game/sources.md,104,KEEP_MD,"Foundational research document containing verified anchors and sources for Chapter 10."
docs/research/ai-history/chapters/ch-10-the-imitation-game/tier3-proposal.md,59,ARCHIVE,"Completed proposal for reader aids, historical only."
docs/research/ai-history/chapters/ch-10-the-imitation-game/tier3-review.md,60,ARCHIVE,"Completed review of reader aids, historical record of decisions."
docs/research/ai-history/chapters/ch-10-the-imitation-game/timeline.md,26,KEEP_MD,"Actively useful chronological reference for Chapter 10."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/brief.md,55,KEEP_MD,"Actively useful research contract and planning document for Chapter 11."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/gap-analysis.md,186,KEEP_MD,"Actively useful research status and review summary for Chapter 11."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/infrastructure-log.md,56,KEEP_MD,"Actively useful research notes on historical infrastructure for Chapter 11."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/open-questions.md,67,KEEP_MD,"Tracks ongoing research needs and unanswered questions for Chapter 11."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/people.md,69,KEEP_MD,"Verified bios of primary 1955-1956 Dartmouth workshop participants."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/scene-sketches.md,85,KEEP_MD,"Anchored scene beats for the naming and institutionalization of AI."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/sources.md,128,KEEP_MD,"Comprehensive verified source list for the Dartmouth Summer Research Project."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/tier3-proposal.md,70,ARCHIVE,"Completed Tier 3 reader aids proposal for the chapter."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/tier3-review.md,62,ARCHIVE,"Recorded decisions and verification results from the Tier 3 review process."
docs/research/ai-history/chapters/ch-11-the-summer-ai-named-itself/timeline.md,28,KEEP_MD,"Verified chronology of events surrounding the 1956 Dartmouth conference."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/brief.md,50,KEEP_MD,"Strategic thesis and scope document for the Logic Theorist and GPS chapter."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/gap-analysis.md,167,KEEP_MD,"Detailed audit of research coverage and required anchor verification."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/infrastructure-log.md,57,KEEP_MD,"Technical context on RAND, CIT, and JOHNNIAC hardware constraints."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/open-questions.md,52,KEEP_MD,"Tracked research blockers and unresolved technical claims for the chapter."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/people.md,65,KEEP_MD,"Primary and contextual figures involved in early symbolic AI at RAND."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/scene-sketches.md,60,KEEP_MD,"Narrative beats and pedagogical demonstration plans for early symbolic programs."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/sources.md,97,KEEP_MD,"Verified primary and secondary sources for Newell-Simon-Shaw research."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/tier3-proposal.md,69,ARCHIVE,"Completed workflow document proposing pull-quotes and plain-reading asides."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/tier3-review.md,55,ARCHIVE,"Decisions from the adversarial review of proposed reader aids."
docs/research/ai-history/chapters/ch-12-logic-theorist-gps/timeline.md,18,KEEP_MD,"Chronological map of the transition from Logic Theorist to GPS."
docs/research/ai-history/chapters/ch-13-the-list-processor/brief.md,62,KEEP_MD,"Foundational thesis on LISP as an enabling substrate for symbolic AI."
docs/research/ai-history/chapters/ch-13-the-list-processor/gap-analysis.md,143,KEEP_MD,"Critical assessment of LISP research coverage and implementation chronology."
docs/research/ai-history/chapters/ch-13-the-list-processor/infrastructure-log.md,72,KEEP_MD,"Hardware and language context for LISP on the IBM 704."
docs/research/ai-history/chapters/ch-13-the-list-processor/open-questions.md,76,KEEP_MD,"Blockers regarding LISP interpreter implementation and garbage collection priority."
docs/research/ai-history/chapters/ch-13-the-list-processor/people.md,65,KEEP_MD,"Key figures in the design and implementation of early LISP."
docs/research/ai-history/chapters/ch-13-the-list-processor/scene-sketches.md,60,KEEP_MD,"Narrative plan covering M-expressions, S-expressions, and the eval interpreter."
docs/research/ai-history/chapters/ch-13-the-list-processor/sources.md,96,KEEP_MD,"Verified source registry for LISP memos, papers, and retrospectives."
docs/research/ai-history/chapters/ch-13-the-list-processor/tier3-proposal.md,76,ARCHIVE,"Completed proposal for technical reader aids in the LISP chapter."
docs/research/ai-history/chapters/ch-13-the-list-processor/tier3-review.md,60,ARCHIVE,"Final decisions on pull-quotes and asides for the LISP narrative."
docs/research/ai-history/chapters/ch-13-the-list-processor/timeline.md,15,KEEP_MD,"Chronology of LISP development from 1958 to 1962."
docs/research/ai-history/chapters/ch-14-the-perceptron/brief.md,71,KEEP_MD,"Strategic plan for the Perceptron chapter's cybernetic-vs-symbolic thesis."
docs/research/ai-history/chapters/ch-14-the-perceptron/gap-analysis.md,203,KEEP_MD,"Exhaustive audit of Perceptron research gaps and funding context."
docs/research/ai-history/chapters/ch-14-the-perceptron/infrastructure-log.md,102,KEEP_MD,"Technical details on the Mark I hardware and digital simulation layers."
docs/research/ai-history/chapters/ch-14-the-perceptron/open-questions.md,136,KEEP_MD,"High-priority research questions on Mark I hardware and press rhetoric."
docs/research/ai-history/chapters/ch-14-the-perceptron/people.md,197,KEEP_MD,"Bios for the Cornell Aeronautical Laboratory team and cybernetic precursors."
docs/research/ai-history/chapters/ch-14-the-perceptron/scene-sketches.md,64,KEEP_MD,"Anchored scene beats for the Perceptron's technical and social history."
docs/research/ai-history/chapters/ch-14-the-perceptron/sources.md,140,KEEP_MD,"Primary source registry for Rosenblatt's papers and Mark I object records."
docs/research/ai-history/chapters/ch-14-the-perceptron/tier3-proposal.md,64,ARCHIVE,"Completed reader aids proposal for the Perceptron chapter."
docs/research/ai-history/chapters/ch-14-the-perceptron/tier3-review.md,54,ARCHIVE,"Adversarial review results for Perceptron pull-quotes and asides."
docs/research/ai-history/chapters/ch-14-the-perceptron/timeline.md,55,KEEP_MD,"Chronology of the Perceptron program from 1956 to 1971."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/brief.md,78,KEEP_MD,"Thesis on the 123-year evolution of the gradient descent concept."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/infrastructure-log.md,43,KEEP_MD,"Log of computational infrastructure from Cauchy's paper to Helsinki mainframes."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/open-questions.md,91,KEEP_MD,"Unresolved questions on Robbins-Monro theorems and Linnainmaa's code."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/people.md,83,KEEP_MD,"Verified bios of mathematicians and computer scientists from Cauchy to Linnainmaa."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/scene-sketches.md,117,KEEP_MD,"Narrative plan for the four nodes of gradient descent's history."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/sources.md,106,KEEP_MD,"Registry of primary sources for optimization theory and Adaline hardware."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/tier3-proposal.md,72,ARCHIVE,"Completed workflow document for optimization-theory reader aids."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/tier3-review.md,42,ARCHIVE,"Verified pull-quote and annotation decisions for the gradient descent chapter."
docs/research/ai-history/chapters/ch-15-the-gradient-descent-concept/timeline.md,75,KEEP_MD,"Comprehensive chronology of optimization theory from 1847 to 1986."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/brief.md,57,KEEP_MD,"Scope document for ARPA/IPTO's role in scaling symbolic AI research."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/infrastructure-log.md,56,KEEP_MD,"Mapping of military funding to time-sharing and LISP environments."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/open-questions.md,58,KEEP_MD,"Tracked questions on contract amounts and the Mansfield Amendment."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/people.md,32,KEEP_MD,"Verified list of IPTO directors and university center builders."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/scene-sketches.md,74,KEEP_MD,"Narrative beats for the ""Sputnik surprise"" and center-based funding model."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/sources.md,99,KEEP_MD,"Registry of official DARPA, GAO, and Project MAC reports."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/tier3-proposal.md,58,ARCHIVE,"Completed reader aids proposal for the Cold War funding chapter."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/tier3-review.md,44,ARCHIVE,"Decisions and verbatim verification results for funding-policy pull-quotes."
docs/research/ai-history/chapters/ch-16-the-cold-war-blank-check/timeline.md,26,KEEP_MD,"Chronology of IPTO and Project MAC from 1957 to 1973."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/brief.md,97,KEEP_MD,"Strategic thesis on the technical and social causes of the Perceptron's decline."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/gap-analysis.md,80,KEEP_MD,"Audit of research coverage for the 1969 Minsky-Papert critique."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/infrastructure-log.md,38,KEEP_MD,"Technical context on the scaling limits of local parallel summation."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/ocr-excerpts.md,60,KEEP_MD,"Verified OCR anchors from Olazaran and Rosenblatt sources."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/open-questions.md,33,KEEP_MD,"Blocks and research needs for the Minsky-Papert reception narrative."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/people.md,19,KEEP_MD,"Figures involved in the official history of the perceptron controversy."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/scene-sketches.md,50,KEEP_MD,"Narrative plan for the transition from Mark I to the AI winter."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/sources.md,60,KEEP_MD,"Verified source registry for the 1969 critique and its aftermath."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/tier3-proposal.md,70,ARCHIVE,"Completed reader aids proposal for the chapter on the fall of the Perceptron."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/tier3-review.md,60,ARCHIVE,"Decisions on the 1969 hinge pull-quote and annotation."
docs/research/ai-history/chapters/ch-17-the-perceptron-s-fall/timeline.md,21,KEEP_MD,"Chronology of the Perceptron controversy from 1956 to 2017."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/brief.md,93,KEEP_MD,"Thesis document for the UK Science Research Council's Lighthill report."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/gap-analysis.md,98,KEEP_MD,"Audit of research on the 1973 UK funding policy crisis."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/infrastructure-log.md,40,KEEP_MD,"Technical context on British machine dependency and combinatorial explosion."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/open-questions.md,39,KEEP_MD,"Blocks regarding SRC budget records and the BBC debate transcript."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/people.md,27,KEEP_MD,"Key figures in the Lighthill survey and the subsequent rebuttals."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/scene-sketches.md,54,KEEP_MD,"Narrative plan for the ABC classification and the winter without extinction."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/sources.md,70,KEEP_MD,"Registry of primary UK policy documents and research rebuttals."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/tier3-proposal.md,72,ARCHIVE,"Completed workflow document for Lighthill-related reader aids."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/tier3-review.md,64,ARCHIVE,"Final decisions on Lighthill pull-quotes and scaling objections."
docs/research/ai-history/chapters/ch-18-the-lighthill-devastation/timeline.md,24,KEEP_MD,"Chronology of UK AI policy from 1947 to the 1980s Alvey Programme."
docs/research/ai-history/chapters/ch-19-rules-experts-and-the-knowledge-bottleneck/brief.md,106,KEEP_MD,"Strategic thesis for the expert systems and MYCIN chapter."
